key,first,second,third
YqAohMv,kmmacVesXu,ROyUFZpuMb,DjMZN,"[30, 20]"
mZfEX,BwqKeIqkT,wULwk,lqERXvh,"[26, 12]"
dpnWZT,xrdrqOkp,UsPVmue,uIwIMX,"[2, 0]"
QZWhdBvx,SDxEj,aMQKWxFy,WTHdI,"[22, 5]"
orOBq,LELvkhMp,tLUBJ,pIgQTzibW,"[8, 0]"
YJkPGmCreu,kRozFTWK,ftNbDZZDh,RiAWp,"[15, 3]"
gidyFOA,ljmsVS,GXFMEFyQpi,hkkJcNPF,"[6, 0]"
AgWreeu,NSbkEC,PlCYBcoKx,ykZvzjko,"[19, 4]"
pfKRqoLkJU,uSbfvXaD,SrwMvmCl,znWrCaQxFv,"[17, 3]"
hPqnOUXuZO,czBcQ,JhCKP,WIRaSCNXwW,"[20, 4]"
KXPxxAOzi,XxEss,ZsyYI,dKcXgabLgC,"[34, 26]"
oYnOGclMN,YfjDoPRcQ,DrCWOF,LFDfXzCX,"[35, 29]"
ExSGSjUdk,RYAHa,HHbMBTLf,eGMqASdy,"[3, 0]"
xvPdNGtuE,vXWIRBmq,gaRXFQtX,fcWMlF,"[11, 0]"
gohNcTNxKq,YFYhxX,tysDTSAd,MqNcfHoeW,"[24, 8]"
yKRzQxiov,MvBUHR,UnVGJvO,NHZfESwBAJ,"[33, 25]"
OTGNsIkRW,nYTeRk,bMLKyZikLY,ycvHIMWae,"[10, 0]"
hKKaad,GuuHBuSAfP,IlgKti,rvHiTUViJ,"[14, 3]"
xdroiYeT,unTvJKJLX,bhefTHZPe,frXHmUq,"[16, 3]"
CkQYf,pfhyI,SgUPsRjD,pHMhPex,"[18, 4]"
SJMRvm,ioCFqP,NggYAmV,kCyzWM,"[27, 13]"
zPLJGrHwy,ZJCSsXDByS,HOWeRi,vwurM,"[7, 0]"
baDKEiTJlB,jigQpkf,agIbizvUO,sXboolYe,"[13, 1]"
qQFziDSF,pkOtHEW,RsmcAIzuo,iPzBL,"[9, 0]"
bhQgwboyS,NKeNki,uDfgaiakx,bNdhb,"[1, 0]"
nUhNtgSgKb,OknCZHLN,exzHwMixf,MZNqe,"[31, 23]"
FBSkpOTgn,PeqGbg,VxTIjn,hjucA,"[4, 0]"
Guexd,MhdMzSnEC,ctObWwZ,uUHLtiz,"[21, 5]"
XkdARTrHwC,XmQsEG,QzPkxlzpbt,YInUrIZ,"[12, 0]"
qaGzxo,djLdqHr,BCILPW,MvsqB,"[32, 24]"
mHlJjoIm,ppnWacvUBp,bywFMutSd,WmgLMC,"[5, 0]"
nyJhTBon,yQrtXW,KtuldCKNyS,rgmjJ,"[23, 7]"
SWVIwCKWBn,DEsXdzUZZ,ITTDG,ViZVrnO,"[25, 12]"
eoFSc,ttqZstTRF,wfnOPF,ZpBlP,"[29, 19]"
RYFLxcO,KmiEEX,mXgoHA,CeKfflBrm,"[28, 19]"
