время начала фиксации (глобальное),	Идентификатор фиксатора,	Название остановки,	GPS-широта,	GPS-долгота,	Высота места над уровнем моря,	Температура воздуха (справочно),	Направление ветра,	Скорость ветра,	Осадки (выбирать из меню),	Прозрачность атмосферы (видимость),	число пассажиров на остановке (оценочно),	номер маршрута транспортного средства,	тип транспортного средства (выбор из справочника) (нет единого подхода),	степень заполненности транспортного средства (оценочно),	число вышедших пассажиров,	число вошедших пассажиров,	Имя файла фотографии должно включать идентификатор остановки и время фотофиксации,	Данные об url  размещения фотографии
1710069127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710070127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710071127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710072127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710073127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710074127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710075127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710077127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710079127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710082127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710104127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710115127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710127127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710139127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
1710152127.281025,FIX01,Зеленая,55.7558,37.6176,156,20,Северный,25,Дождь,Нормальная,60,101А,Автобус,Заполнен,45,78,1710069127.281025_зеленая,http://jijiji
